site,event_start,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,cluster,DOY,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_mean,API_4d,solarRad_4d,q_4d,q_mm,NO3_1d,SRP_1d,turb_event_max,DO_pre_wet_15cm,Redox_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,multipeak,PET_mmHR,diff_airT_soilT
Hungerford,2018-04-29 07:30:00,spring,49.00558817901909,1.3827637426820774,78.3699894002147,2221.8708865024323,2,119,29.6,56.25,0.008757396449704143,60.632343750000004,104.01302083333333,2.7050226680520835,21.188762959931505,2.838528233063021,0.020993403855521477,275.132,0.5317562989329211,0.5674423498032618,0.4030938799112563,0.9399345308628385,1.2604166666666667,0,7e-4,0.34899305555555493
Hungerford,2018-05-03 08:45:00,spring,14.941645572821384,0.23241148828551236,142.1651029887792,208.3028970066519,2,123,10.200000000000001,13.75,0.012289156626506025,35.12541125,125.93663194444444,3.4778426148854167,6.823187644541096,3.109180270723203,2.4748301849054883e-4,109.654,0.5516094077524564,0.5391063792327162,0.46969235240555784,0.9338050853833063,1.75,0,8e-4,8.608958333333332
Hungerford,2018-05-04 19:00:00,spring,13.595923564081843,0.14696081126343608,204.57819333625352,126.44877453246731,2,124,3.4,3.5833333333333335,0.015454545454545453,15.265808749999998,134.67795138888889,2.365133650708333,5.33682485860274,2.0752770572942705,0.03789530426572291,92.41933333333334,0.4694865673132658,0.5163759525763029,0.5621226787675738,0.9328511218666876,0.010416666666666666,0,0.1176,0.8015624999999993
Hungerford,2018-05-15 09:00:00,spring,NA,NA,NA,9.7114225013234865,2,135,8.4,5.833333333333333,0.023661971830985916,8.4,281.59722222222223,0.5091941543489583,2.040090187181507,2.122381120421303,0.015374085246417363,8.575638888542674,0.725376265472336,0.5009052084129094,0.5637592015528586,0.6667037675165228,9.239583333333334,0,0.0241,4.900295138888888
Hungerford,2018-05-20 06:30:00,spring,3.047118172696466,4.249868237074521e-4,15854.990905127179,9.961263249580082,2,140,8.200000000000001,18.083333333333332,0.007522935779816514,8.39,240.08159722222223,0.413157885546875,1.7453257647123288,1.6976076019132904,2.435000000000003e-4,8.188666666666666,0.7966894941343998,0.46961388784538394,0.5938158683532997,0.5627804074739715,3.03125,0,0.0124,-1.0223263888888887
Hungerford,2018-05-26 07:30:00,spring,3.661397792070274,0.0010080105447020273,8032.190598288898,24.61658119331172,2,146,13.6,45.583333333333336,0.004963503649635036,14.448801249999999,195.57899305555554,0.31971913680208336,2.53958220010274,1.4289131666840276,2.435000000000003e-4,14.327333333333334,0.804100441575865,0.4311015196731951,0.6498928389856434,0.5322193874899002,4.052083333333333,0,0.0067,6.037048611111111
Hungerford,2018-07-25 19:00:00,summer,0.8726927454641451,0.21245282984896546,9.083453784939111,19.66015345754189,1,206,48.6,36.666666666666664,0.022040816326530613,49.937956250000006,148.26822916666666,0.07460354638671875,0.9859835761438356,0.24588554164404633,0.06859736551549415,37.17466666666667,0.8007360140184848,0.8649205028812239,0.9148121759455774,0.06394360473690575,22.479166666666668,1,0.1715,4.330451388888889
Hungerford,2018-08-08 19:15:00,summer,1.0993069557792536,0.14480197052592947,16.7879114322735,32.42490864190048,1,220,42.8,11.75,0.06028169014084507,45.065275,185.67361111111111,0.08352034514583333,0.977851422739726,0.19335763128133993,0.02070168800352736,62.59533333333333,0.7295877544009087,0.8422769669606494,0.9799910545148389,0.278117530353115,11.78125,0,0.2717,-0.4706423611111106
Hungerford,2018-10-02 13:45:00,fall,0.5606472008856613,0.056629569308805916,21.892661640607614,NA,1,275,28.400000000000002,32.083333333333336,0.014715025906735752,35.9998575,115.67361111111111,0.10789196366666667,1.0226933836232877,0.343583777186759,0.044593034681402896,13.142666666666667,0.8174175024395985,0.8909860849848344,0.6648758775890327,0.3584169793481658,53.083333333333336,0,0.0307,-4.932760416666667
Hungerford,2018-10-11 10:00:00,fall,1.6284439747464858,0.1471202840424544,24.476675615486215,12.255064724193657,2,284,20.2,46.333333333333336,0.0072531418312387795,22.9120125,76.09635416666667,0.13621833717708334,1.382928395260274,0.7115715076271338,0.03638681169745451,18.865333333333332,0.8151785116973755,0.9663960546321141,0.6429016180070213,0.390731502658075,6.84375,0,8e-4,1.670364583333333
