Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49
 33,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.183954536404058,0.183955,18.980925,0.01,0,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,3
 34,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,5,1.4,0.18442366801228,0.184424,17.87395,0.01,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,2,3,2,2
 35,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,5,1.6,0.129417141895673,0.129417,15.493243,0.01,0,3,3,3,1,3,3,3,1,3,1,1,3,3,3,3,3,5,5,5,3,3,1,3,3,3,1,4,1,1,1,3,1,1,1,1,1,3,1,3,3,1,5,5,5,5,3,3,3,2
 36,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,5,1.8,0.143519323181699,0.143519,23.318659,0.01,0,1,1,1,4,1,1,1,3,1,4,3,1,1,1,1,1,2,2,2,2,2,4,1,1,1,4,5,4,4,4,1,1,1,4,1,4,1,1,1,1,3,2,2,2,2,1,1,1,3
 37,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,5,0.8,0.174838321187341,0.174838,21.508146,0.01,0,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,1,1,1,1,1,4,2,2,2,4,3,4,4,4,2,2,2,4,2,4,2,2,2,2,2,1,1,1,1,2,2,2,5
 38,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,5,1.0,0.157072502553836,0.157073,17.528491,0.01,0,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,4,4,1,1,1,5,1,1,1,5,3,2,2,2,1,1,1,2,1,2,1,1,1,1,1,4,4,4,4,1,1,1,1
 39,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.128603525620055,0.128604,17.738397,0.01,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,3,3,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,2
 40,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,6,3.3,0.167807957069274,0.167808,19.299818,0.01,0,2,2,2,6,2,2,2,2,2,1,2,2,2,2,2,2,4,3,3,3,3,4,2,2,2,6,5,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,4,2,2,2,2
 41,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,6,3.7,0.183543273784806,0.183543,25.013089,0.01,0,6,6,6,4,6,6,6,3,6,1,3,6,6,6,6,6,5,5,5,6,6,4,6,6,6,4,2,1,1,1,6,6,3,1,3,1,6,3,6,6,3,5,5,5,5,3,6,3,3
 42,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,6,4.0,0.1390409982265,0.139041,22.849553,0.01,0,2,2,2,6,3,3,3,3,3,5,3,3,3,3,3,3,1,1,2,2,2,6,2,2,2,6,4,5,5,5,3,3,3,5,3,5,3,3,3,3,3,1,1,1,1,3,2,3,3
