site,event_start,season,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2
Hungerford,2019-04-14 18:15:00,spring,9.465391942805198,21.923698404519527,0.2809478619947703,172.56004800694228,230.23736732120273
Hungerford,2019-04-19 20:00:00,spring,11.989730024058309,29.41380367552556,0.9156623568118024,71.03428185431389,1064.0900076559378
Hungerford,2019-04-23 23:00:00,spring,7.673053659309854,16.365492938390663,0.3637522062229985,99.48912707209332,77.31195846354993
Hungerford,2019-04-26 11:45:00,spring,15.906150497496302,43.45847155401523,1.1016448606990898,87.23384205581908,1428.057026690505
Hungerford,2019-05-01 21:15:00,spring,18.247556741053494,47.73199770942798,0.24651375646435755,428.17432011720587,207.43466176367065
Hungerford,2019-05-07 06:45:00,spring,3.5476741303667922,7.629158909788918,0.01592600279428693,1059.307479658187,23.452462352303012
Hungerford,2019-05-10 01:15:00,spring,15.54012486889305,34.99997071254588,2.737857280780799,28.268908546973222,NA
Hungerford,2019-05-13 22:00:00,spring,11.848073648465993,32.6526432201582,0.2266175127310189,318.62293939141864,287.22708641846975
Hungerford,2019-05-17 07:00:00,spring,3.099872540415477,8.48443640863867,0.00842839758841186,2226.025577439796,16.1656751307122
Hungerford,2019-05-19 07:00:00,spring,10.2992303813757,25.27722154287873,1.2820404253530366,43.599326505522185,939.9939256004465
Hungerford,2019-07-12 00:00:00,summer,1.2684988469900234,2.022743081183012,0.39331787407095037,11.372323535959321,44.91362217289066
Hungerford,2019-07-30 16:00:00,summer,1.0610901097414107,1.0685196280890397,0.14989941051788724,15.762850068498393,55.56021713843052
Hungerford,2019-08-08 06:15:00,summer,3.050103382251265,5.807894231050485,0.6270021262572675,20.483390779691938,124.27697181219663
Hungerford,2019-09-02 07:00:00,fall,5.299207288705341,6.018512810449207,0.8348196370972282,15.942216342673074,82.99230871184439
Hungerford,2019-10-01 17:45:00,fall,7.027012608653268,20.822401586147727,1.5918754352576077,28.92503562043312,NA
Hungerford,2019-10-07 07:45:00,fall,6.1687139866846525,23.152447990581866,0.8878424406111485,57.665117504749624,NA
Hungerford,2019-10-17 03:00:00,fall,11.814591222810801,46.62571416595389,3.9169803274559634,26.32244773003979,1103.5676875624845
Hungerford,2019-10-23 01:15:00,fall,4.469263530856102,15.227738461739875,0.046446750593289586,724.9903706373871,15.655738766833235
Hungerford,2019-10-27 09:15:00,fall,10.006200681271181,31.951596961058254,1.769169644209153,39.93698320649998,590.1247587741979
Hungerford,2019-10-31 04:00:00,fall,24.73717006069509,48.48483471928533,9.595423674926733,11.173620825227083,3587.0390135186904
Wade,2017-08-03 14:45:00,summer,1.4925222902802395,NA,NA,NA,72.21085908927644
Wade,2017-08-05 11:00:00,summer,10.648772535686227,NA,NA,NA,176.80090647842934
Wade,2017-08-07 22:30:00,summer,1.6966701623425149,0.2080266093443304,0.004180038118796659,110.05019429336467,0.9681939094084671
Wade,2017-08-11 21:45:00,summer,0.4863246984,NA,NA,NA,0.10974549577825868
Wade,2017-08-13 05:15:00,summer,0.8305286342011976,0.1356569743708604,0.00162953038979302,184.09069091499796,0.410401632300388
Wade,2017-08-15 15:15:00,summer,0.5693896326395209,0.10647811307944918,9.041088947736894e-4,260.43045503084244,0.11799718911421078
Wade,2017-08-18 05:00:00,summer,0.4499059455916168,0.0861494807634304,5.983505318128941e-4,318.38247041798155,0.07226336627369102
Wade,2017-08-19 15:00:00,summer,0.6899055746443113,0.12491372373121369,0.0010656841184252877,259.19930144507384,0.14502595085392814
Wade,2017-08-22 15:30:00,summer,0.7333574780479042,0.14299611450198935,0.0011730805463831468,269.55573085786693,0.20218567328518564
Wade,2017-09-03 11:00:00,fall,1.153743709257485,0.2247637055399821,0.002183986049430815,227.57706328785963,0.893196052541497
Wade,2017-09-05 10:45:00,fall,4.487907235257485,0.6131285052024927,0.01838817411896044,73.73353664919402,20.164354964994253
Wade,2017-09-07 01:00:00,fall,11.190316693958083,NA,NA,NA,NA
Wade,2017-09-08 17:30:00,fall,0.7066356204610779,0.0620823878200405,0.0018185264162420367,75.49200565148608,0.34534540650758083
Wade,2017-10-08 11:15:00,fall,0.24594000919760478,0.005777890325032279,5.614388848401114e-4,22.757207582259323,0.11123452127849102
Wade,2017-10-09 10:15:00,fall,3.6654430276347307,0.11824413937683707,0.024590346890228248,10.63327717747712,13.35290230754921
Wade,2017-10-24 16:15:00,fall,3.8737347076886226,0.011225539604579088,0.03754798184926352,0.661108578460348,28.861866621475368
Wade,2017-10-26 04:00:00,fall,20.00310804199401,NA,NA,NA,NA
Wade,2017-10-29 10:00:00,fall,16.63760611756886,0.7938027767485213,0.07367968358057636,23.824128727493658,25.302521316730743
Wade,2017-11-01 19:15:00,fall,12.144394963562874,0.7106988872651469,0.04396885159506725,35.74313802815958,12.951197828613017
Wade,2017-11-03 07:00:00,fall,18.327481686323353,1.4534729111206812,0.06730430591600563,47.75471500141892,93.54839842810283
Wade,2017-11-05 18:30:00,fall,19.893065424682636,NA,NA,NA,19.983034392272444
Wade,2017-11-16 06:00:00,fall,1.1536437985868264,0.1558786511118401,3.1004223738282635e-4,1111.7776574221195,0.5144356837657366
Wade,2017-11-19 00:00:00,fall,7.928758871730539,NA,NA,NA,14.387370509649125
Wade,2017-11-21 13:45:00,fall,2.0847425378982036,NA,NA,NA,0.7797116027803832
Wade,2017-11-25 13:00:00,fall,3.165326557329341,0.4806426290131809,0.0010000568745938052,1062.795610978109,1.8335052416067665
Wade,2017-11-27 23:30:00,fall,1.1457095673772455,0.20239309402972694,1.8274067599667064e-4,2449.134453549505,0.3814826321457485
Wade,2017-11-28 22:45:00,fall,4.317157985443114,0.6818563129750962,0.001725145240419788,874.0159673889531,4.02438278304503
Wade,2017-11-30 21:00:00,fall,2.6962474181497007,0.4558097719033572,6.616032881721907e-4,1523.4848574957473,1.345513035556491
Wade,2017-12-05 13:00:00,winter,7.818403374377246,1.6834575874113271,0.0036931717533974567,1007.9867873967504,12.789121981270096
Wade,2018-04-04 06:00:00,spring,5.828276345982036,NA,NA,NA,NA
Wade,2018-04-05 22:00:00,spring,0.32328029430538924,NA,NA,NA,NA
Wade,2018-04-12 12:45:00,spring,3.514023677586826,1.0264145368317923,0.008531343820260051,266.0464785202951,24.452610684873484
Wade,2018-04-13 15:30:00,spring,6.627277299556886,2.260986740768238,0.016646653487084856,300.34696059999897,24.61086026335908
Wade,2018-04-16 13:45:00,spring,0.8477660577125748,0.2812024142416483,0.001837769485886511,338.3609020216583,0.8948057104175569
Wade,2018-04-22 10:45:00,spring,0.26473284468862274,0.06745677047512737,5.586017078844615e-4,267.0394663657781,0.3188124546314371
Wade,2018-04-23 10:45:00,spring,0.9807885442994012,0.24945882511589662,0.002110379136680872,261.3909536375848,1.1812112407674618
Wade,2018-04-24 10:15:00,spring,7.41770132691018,2.2828194679004308,0.012338220005147012,409.1393237108826,20.51472748175594
Wade,2018-04-25 10:00:00,spring,28.883700701407186,NA,NA,NA,191.62645092350027
Wade,2018-04-27 13:00:00,spring,5.932467828377246,NA,NA,NA,5.1777288035622755
Wade,2018-04-28 11:30:00,spring,17.84704224723952,NA,NA,NA,28.947576102874454
Wade,2018-04-30 08:45:00,spring,3.862067064520958,NA,NA,NA,3.681116300714551
Wade,2018-05-01 12:30:00,spring,3.7863647656167663,NA,NA,NA,2.5186508204348264
Wade,2018-05-02 09:30:00,spring,11.726754375610778,NA,NA,NA,55.144498364123535
Wade,2018-05-03 10:00:00,spring,13.845554258658682,NA,NA,NA,88.85994234546305
Wade,2018-05-04 15:15:00,spring,7.147397784664671,NA,NA,NA,45.07200859245586
Wade,2018-05-20 07:15:00,spring,0.12017648966766467,0.017787981651578744,2.550536693007592e-4,154.22233075950007,0.060950649664473056
Wade,2018-06-14 07:30:00,summer,0.19784032859281436,NA,NA,NA,NA
Wade,2018-06-18 12:45:00,summer,0.09031495664371257,0.014718132590942488,4.848378972603463e-4,67.12871245067562,0.07141249837203592
Wade,2018-07-25 22:15:00,summer,0.06824481952095808,0.021802321261459316,2.932164423685388e-4,164.42451898885108,0.14739800372448503
Wade,2018-07-27 20:45:00,summer,0.053590625299401194,0.014030790898763225,2.410539720408228e-4,128.712292507794,0.10642706912117963
Wade,2018-08-17 23:45:00,summer,1.567662920784431,0.2560245808704009,0.010348832571168875,54.70694566770411,51.46672630193382
Wade,2018-09-03 14:45:00,fall,2.9399847985508982,0.5354531070728092,0.016685433426327608,70.96367787595725,136.56720999577178
Wade,2018-09-11 01:15:00,fall,0.0823138719251497,0.013927735906677377,3.9878775397339777e-4,77.2308607464208,0.17186251034135927
