site,event_start,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,cluster,DOY,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,API_4d,q_event_max,q_event_delta,q_4d,q_mm,NO3_1d,SRP_1d,turb_1d,turb_event_max,DO_pre_wet_15cm,Redox_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,VWC_pre_wet_30cm,time_sinceLastEvent,multipeak,PET_mmHR
Wade,2017-11-03T07:00:00Z,fall,1.4534729111206812,0.06730430591600563,47.75471500141892,93.54839842810283,4,307,20.6,6.166666666666667,0.24,0.054933333333333334,48.735865000000004,3.693582806,2.6065562840000003,1.3371133195286458,18.327481686323353,0.05896431785854783,0.003653804198922191,1.0167708333333334,62.535333333333334,0.24759286931297853,0.6003946906319353,0.5648959635133985,0.656028143516175,0.7752295395892301,0.010416666666666666,0,0.015
Wade,2017-11-05T18:30:00Z,fall,NA,NA,NA,19.983034392272444,1,309,20.400000000000002,20.833333333333332,0.2,0.016254980079681274,55.16655625,3.055094561,2.74592807,1.543542895578125,19.893065424682636,0.0990376465008845,0.0019319898806362612,0.41875,3.3633333333333333,0.39638133003529585,0.5458824699877204,0.4615581161435838,0.6220720350166031,0.7709470437595523,0.7083333333333334,1,0.0509
Wade,2017-11-16T06:00:00Z,fall,0.1558786511118401,3.1004223738282635e-4,1111.7776574221195,0.5144356837657366,4,320,6.4,17.583333333333332,0.12,0.0060377358490566035,9.3665175,0.214675539,0.157148013,0.068851248796875,1.1536437985868264,0.15081640762773915,2.2294992796053438e-4,0.2532638888888889,1.2506666666666666,0.9982706827257538,0.5839867083860782,0.22275464007343215,0.294156436066019,0.5084488599754742,8.260416666666666,0,0.0067
Wade,2017-11-19T00:00:00Z,fall,NA,NA,NA,14.387370509649125,4,323,16.8,9.416666666666666,0.16,0.02947368421052632,22.404525,2.722017703,2.644992905,0.093405142078125,7.928758871730539,0.14002411376003013,2.232184500752065e-4,0.2990277777777778,5.935333333333333,0.8488991995836149,0.5491559921058944,0.218056225399443,0.31669284924652363,0.5211273460395317,0.9583333333333334,0,0.0073
Wade,2017-11-25T13:00:00Z,fall,0.4806426290131809,0.0010000568745938052,1062.795610978109,1.8335052416067665,4,329,4.4,11.333333333333334,0.08,0.006423357664233577,14.25138125,0.671882001,0.581986017,0.17163631751041666,3.165326557329341,0.16291359071309822,2.1989475687251558e-4,0.29804166666666665,1.89,0.8881447358093518,0.7050289899790974,0.13637776808035135,0.6112835750993582,0.7403059347730847,2.21875,0,0.0241
Wade,2017-11-28T22:45:00Z,fall,0.6818563129750962,0.001725145240419788,874.0159673889531,4.02438278304503,4,332,12.8,17.583333333333332,0.12,0.012075471698113207,16.555302500000003,1.256115335,1.1147045420000001,0.24921636928385416,4.317157985443114,0.17615498960586995,1.614508915026533e-4,0.3407986111111111,3.2873333333333337,0.820365076251268,0.9291071537781534,0.13991298602781393,0.6366012658961464,0.7583633984146613,0.21875,0,0.0058
Wade,2017-11-30T21:00:00Z,fall,0.4558097719033572,6.616032881721907e-4,1523.4848574957473,1.345513035556491,4,334,5.6000000000000005,2.4166666666666665,0.12,0.037333333333333336,17.152,0.62296082,0.38995605,0.351683743046875,2.6962474181497007,0.1713332683884796,2.585824187601535e-4,0.40094444444444444,1.8666666666666667,0.7741257141265889,0.9225688440646491,0.106705065175674,0.6228827873186841,0.765104333952974,0.3541666666666667,0,0.0198
Wade,2017-12-05T13:00:00Z,winter,1.6834575874113271,0.0036931717533974567,1007.9867873967504,12.789121981270096,4,339,9.200000000000001,15.25,0.12,0.01,9.200000000000001,2.660143121,2.5682541039999998,0.17221371130729166,7.818403374377246,0.18696534206823592,1.6342091472322027e-4,0.29904166666666665,6.5953333333333335,0.7594439523303012,0.8859909233193961,0.11880711702304372,0.6212482158472197,0.738529246763729,3.4270833333333335,0,0.0132
Wade,2018-04-12T12:45:00Z,spring,1.0264145368317923,0.008531343820260051,266.0464785202951,24.452610684873484,4,102,20.6,19.25,0.27999999999999997,0.017758620689655173,20.6,1.475215574,1.471987593,0.007505199742187501,3.514023677586826,0.35464921521360987,0.0017308997908681634,0.3091985018726592,40.752,0.4233548985539727,0.9118386305489979,0.0081575533034069,0.7053136736293778,0.7880794112578835,5.802083333333333,0,0.0623
Wade,2018-04-13T15:30:00Z,spring,2.260986740768238,0.016646653487084856,300.34696059999897,24.61086026335908,4,103,11.8,9.583333333333334,0.08,0.0203448275862069,31.3415,2.675587258,2.378553471,0.17450822053645834,6.627277299556886,0.3064300382961259,0.0021333728321652726,4.936729166666667,8.716666666666667,0.5154065139814176,0.9315697212157542,0.005120922211270158,0.8980715484152266,0.8431686607152834,0.010416666666666666,0,0.0524
