site,event_start,clust_4cl,clust_5cl,clust_6cl,season,var,term,estimate,std.error,statistic.x,p.value.x,r.squared,adj.r.squared,sigma,statistic.y,p.value.y,df,logLik,AIC,BIC,deviance,df.residual,nobs,.rownames,yield,q_mm,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,VWC_pre_dry_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,PET_mmHR,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells,VWC_pre_wet_30cm,diff_airT_soilT,gw_1d_well2,gw_1d_well4a,gw_4d_well2,gw_4d_well4a,event_NO3_SRP,NO3_1d,DO_pre_dry_15cm,Redox_pre_dry_15cm,DO_pre_wet_15cm,Redox_pre_wet_15cm,SRP_1d,turb_event_max
Hungerford,2018-04-20 14:45:00,1,4,4,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,5,25.626034390938464,2.766351947630137,-36.94537367336761,62.57140806430608,0.1074671349689143,0.08574806034704174,621.8770002696949,5.416013780375336e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-25 14:00:00,2,3,5,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,6,32.98749786423338,16.41577158910274,36.86440133941493,-3.8769034751815497,-0.6059250055231628,0.05390462372727529,6.667957590729542,0.010459209308680863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-25 14:00:00,3,1,4,spring,SRP_kg_km2,q_mm,0.0653517699629651,0.01546366163997849,4.22615105558246,2.97115122017023e-4,0.4266651275867333,0.40277617456951376,0.5842274659048625,17.860352744600732,2.9711512201702455e-4,1,-21.87775989860223,49.75551979720446,53.5298094112689,8.191721566022816,24,26,6,1.4122193287241507,16.41577158910274,0.8869534781872981,0.5252658505368526,0.9243357201872516,0.05390462372727529,0.5860737995092747,0.024340000106941175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-25 14:00:00,2,5,6,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,6,1307.7974010090386,16.41577158910274,1046.5785654703977,261.21883553864086,0.44180151668520984,0.05719918502948522,619.4920918134393,0.005920989637522555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-29 07:30:00,2,3,5,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,7,49.00558817901909,21.188762959931505,47.513984472737235,1.4916037062818575,0.2391876550606746,0.10126412117042659,6.711538817725952,0.003223079700197189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-29 07:30:00,1,1,4,spring,SRP_kg_km2,q_mm,0.0653517699629651,0.01546366163997849,4.22615105558246,2.97115122017023e-4,0.4266651275867333,0.40277617456951376,0.5842274659048625,17.860352744600732,2.9711512201702455e-4,1,-21.87775989860223,49.75551979720446,53.5298094112689,8.191721566022816,24,26,7,1.3827637426820774,21.188762959931505,1.198876912288917,0.18388683039316045,0.3320111101926201,0.10126412117042659,0.5954208304039025,0.006210102328033131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-29 07:30:00,2,5,6,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,7,2221.8708865024323,21.188762959931505,1425.4701628761925,796.4007236262398,1.3836009163492526,0.10647442858909721,596.7033444948346,0.11405912049270356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-05-03 08:45:00,3,4,3,spring,NO3_kg_km2,q_mm,2.2312177638555313,0.17411212694264633,12.8148326198468,3.1700686807878462e-12,0.8724895957993168,0.867176662290955,6.578072456269128,164.21993507468966,3.170068680787835e-12,1,-84.82913249234227,175.65826498468454,179.432554598749,1038.5048937582374,24,26,8,14.941645572821384,6.823187644541096,15.461257641033626,-0.5196120682122416,-0.0812691625629541,0.05526591721545293,6.718627909040503,1.931832073243514e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-05-03 08:45:00,3,2,2,spring,SRP_kg_km2,q_mm,0.0653517699629651,0.01546366163997849,4.22615105558246,2.97115122017023e-4,0.4266651275867333,0.40277617456951376,0.5842274659048625,17.860352744600732,2.9711512201702455e-4,1,-21.87775989860223,49.75551979720446,53.5298094112689,8.191721566022816,24,26,8,0.23241148828551236,6.823187644541096,0.2600611388918732,-0.027649650606360848,-0.048691469946721,0.05526591721545293,0.5967634568978327,6.934634474555053e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-05-03 08:45:00,1,4,4,spring,turb_kg_km2,q_mm,79.38241827158495,15.80787566499439,5.021700572163067,3.934467500656151e-5,0.5123683366119678,0.4920503506374664,608.929917533401,25.217476636462866,3.934467500656173e-5,1,-202.55612942536285,411.1122588507257,414.88654846479017,8899095.467213627,24,26,8,208.3028970066519,6.823187644541096,285.096054477915,-76.7931574712631,-0.1294584770266721,0.051036653890173186,621.8094604920644,4.506752896495877e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
