site,event_start,season,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_preEvent_1d,rain_preEvent_7d,q_event_delta,q_preEvent_mean_1d,time_sinceLastEvent,PET_mmDay,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,Redox_mean_preEvent_6,VWC_mean_preEvent_6
Wade,2019-07-11 20:00:00,summer,0.8926169887663284,0.5022514675562398,1.7743013127123881,-0.9012069296513463,-0.2204557307759639,-1.1287419629887214,-0.7097066968073746,0.8098519299433449,0.859065347019833,-0.6302456501854826,-0.1474804798629712,-0.6587226935826911,0.5201849082113547,-0.7437877182103964,-1.5495667242955646
Wade,2019-07-28 15:30:00,summer,1.167942562655926,-0.9652689875484126,1.3067134481797498,-0.4574135905854901,-2.4941112291812506,-0.4079417339794545,-1.0395240526959297,2.0701310399527904,0.3906148393620286,-1.1864801201801856,-0.3868074523087833,-1.117448230194771,0.7537118470855914,-0.748720078282344,-1.8897915029853585
Wade,2019-07-31 14:30:00,summer,-0.9495944296015987,-1.7079427424762033,1.4541326268094654,-0.24671389473916308,0.7062755499245522,0.17763298203215133,-0.8391402258200924,0.29951944564753763,1.0101891348092928,-0.9831753228850634,-0.34175673829254405,-0.8603095570709343,0.5388570234485995,-0.5544909798309012,-0.18962103116833184
Wade,2019-08-07 18:45:00,summer,-0.42972532833331606,-0.5106716783687504,-0.40189301269432354,0.8215942834138068,-0.2602050685707275,-0.003313953527965786,-0.8440461084898463,1.1714532612414936,0.5606153951942435,-1.0715750125863683,-0.4917987192467071,-0.7797784918960159,0.31691013571990756,-0.6714093939431777,-1.759874689949742
Wade,2019-08-08 08:45:00,summer,0.6228847353221468,-0.4859273895535158,0.14012155015426755,1.429256207359852,-0.06084436512991539,0.6826755154696499,0.2128925315061961,-1.0747552111388283,0.8924534311053143,-0.19473935024784877,-0.027548319630692847,0.09895316966380892,-0.12497059562850191,-0.5527225905099864,0.4107872606447645
Wade,2019-08-08 08:45:00,summer,0.6228847353221468,-0.4859273895535158,0.14012155015426755,1.429256207359852,-0.06084436512991539,0.6826755154696499,0.2260462889246832,-1.0747552111388283,0.8924534311053143,-0.19473935024784877,-0.027548319630692847,0.09895316966380892,-0.12497059562850191,-0.5527225905099864,0.4107872606447645
Wade,2019-08-08 08:45:00,summer,0.6228847353221468,-0.4859273895535158,0.14012155015426755,1.429256207359852,-0.06084436512991539,0.6826755154696499,0.2128925315061961,-1.0747552111388283,0.8924534311053143,-0.19473935024784877,-0.027548319630692847,0.09895316966380892,-0.12497059562850191,-0.5527225905099864,0.4107872606447645
Wade,2019-08-08 08:45:00,summer,0.6228847353221468,-0.4859273895535158,0.14012155015426755,1.429256207359852,-0.06084436512991539,0.6826755154696499,0.2260462889246832,-1.0747552111388283,0.8924534311053143,-0.19473935024784877,-0.027548319630692847,0.09895316966380892,-0.12497059562850191,-0.5527225905099864,0.4107872606447645
Wade,2019-08-08 20:45:00,summer,-0.6039772609284095,-2.4914553794077823,1.4541326268094654,2.422931347949455,0.8295665712617938,0.6179365288832945,1.1936080044334014,-1.0514596892989567,0.8924534311053143,-0.22708039922465537,-0.10916141417590719,0.05388301427282203,-0.1567656022536528,-0.5611736791962108,0.6260976542907769
Wade,2019-08-10 05:15:00,summer,-0.13284678122663676,0.7723879854284127,0.6077094146869061,1.3279913467206008,1.0855133504623415,-0.20869170564016798,0.403567783582296,-0.4628625110044982,0.8285948312324121,-0.1154787440868233,-0.07970348810510884,0.049284396209606715,-0.12440968987634991,-0.6512597466953126,0.11817262538397695
