site,event_start,season,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_preEvent_7d,q_event_delta,q_preEvent_mean_1d,time_sinceLastEvent,PET_mmDay,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,Redox_mean_preEvent_3,VWC_mean_preEvent_3
Hungerford,2018-07-25 19:00:00,summer,1.4082635603315916,0.7883784178477489,1.5715438025790156,-1.9354318486937747,-1.2912177663131206,-2.427503624084918,1.6958103940122284,1.2702990837569024,-1.9831519985018946,-2.237803111103195,0.04160078082706627,-1.3319606253773892,0.9311361355115537,-2.2233701641255204
Hungerford,2018-08-08 19:15:00,summer,1.2778783693253906,-0.2167015883424323,1.852635745910533,0.15340789230267876,-0.7244602775939758,-2.3690147774462607,1.148758141174871,1.453713969081361,-1.9917575999735728,-2.0561044083928364,-0.11578276550753713,-1.054122058039064,0.9167643544874065,-1.8278253320335827
Hungerford,2018-10-02 13:45:00,fall,0.8570799279795367,0.670445216436791,-0.024385845855359776,1.051079404591175,-1.6431489886580362,-2.1140515789038345,2.4464131974185546,-1.5261055792513305,-1.9451681865146941,-2.5860794155231916,-0.5012169451620847,-0.9340252074700328,1.031247738583534,-1.6053709084283994
Hungerford,2018-10-11 10:00:00,fall,0.5075269699279393,0.9950385144990999,0.9141249500275866,-0.5789200114010387,-1.1077339898640206,-1.9330044589425555,0.7095377785898472,-1.017924040070748,-1.631612287718612,-1.7468253190668677,-0.1092619086780724,-0.883556333250397,0.9489166106490046,-1.5520990596519264
Hungerford,2018-10-27 22:00:00,fall,0.42286329465113653,1.1053940877521091,-0.024385845855359776,-0.19138977340184055,-1.9265299513420648,-1.8053565624015933,1.306390628478039,-0.916625300122068,-1.7528963113307914,-1.6795804922103004,0.36826318097186717,-1.3710656917105422,1.057967212488877,-1.4999372515336091
Hungerford,2018-11-01 18:45:00,fall,1.4291596984976873,1.0969424722038958,-0.3190442128845021,0.5688123837690311,1.3189405626749549,-0.8260915873269887,0.0021837472903041178,-1.199926849189041,0.8887562919092525,1.4361734253909217,1.161770172924392,-0.4546800235791653,1.035494876005064,-0.21450679210078744
Hungerford,2018-11-06 16:00:00,fall,-0.8086998452706433,-0.5379983479915263,-0.7343418559535597,1.4122659578025651,-0.8106369993788325,-0.021856226244222215,-0.469656626785154,-1.3285163616426177,-0.5661509923936532,0.3735838991899048,0.03135827574885334,0.1801564729424008,0.9716659803567055,0.5054455721426698
Hungerford,2018-11-09 22:45:00,fall,0.43383628606960717,0.12240595586669482,-0.7343418559535597,0.8242493874394135,0.5631804204105243,-0.5134871072193828,-0.3973127330116906,-1.4135549324223493,0.07683753681962527,0.7749854447457327,0.5838920542630123,-0.19795204276964612,0.9514007669622649,-0.18070463650017685
Hungerford,2018-11-13 10:15:00,fall,-0.49538898632095824,-0.0010299866166108007,-0.7343418559535597,0.5112188097751535,-0.47565188949956805,-0.2758666181116315,-0.5104496376787434,-1.706503436441506,-0.8390128002603708,0.0035258878296621924,-0.49265867784784906,0.5448579211261858,0.899317512825514,0.5667229832236016
Hungerford,2018-11-25 06:30:00,fall,-0.04401440325472251,1.0855463517000137,-0.7343418559535597,-2.3301664847445944,0.8319471583392769,-1.080321529889942,1.0272762891982439,-2.0140524993209463,0.8729528781423451,1.253873374835326,1.486358763661628,-0.9170975649216161,0.813481283695111,-0.3513382514962704
