date,site,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE
2014-04-20,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-21,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-22,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-04-23,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.21,NA,NA,NA,NA
2014-04-24,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-04-25,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-26,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.06,NA,NA,NA,NA
2014-04-27,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.44,NA,NA,NA,NA
2014-04-28,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.07,NA,NA,NA,NA
2014-04-29,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-30,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.12,NA,NA,NA,NA
2014-05-01,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.59,NA,NA,NA,NA
2014-05-02,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.05,NA,NA,NA,NA
2014-05-03,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.09,NA,NA,NA,NA
2014-05-04,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.39,NA,NA,NA,NA
2014-05-05,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.26,NA,NA,NA,NA
2014-05-06,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.12,NA,NA,NA,NA
2014-05-07,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-08,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-09,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-10,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.33,NA,NA,NA,NA
2014-05-11,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.01,NA,NA,NA,NA
2014-05-12,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-13,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.01,NA,NA,NA,NA
2014-05-14,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-15,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.03,NA,NA,NA,NA
2014-05-16,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-17,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,1.25,NA,NA,NA,NA
2014-05-18,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.01,NA,NA,NA,NA
2014-05-19,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-20,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-21,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-22,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-23,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.42,NA,NA,NA,NA
2014-05-24,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.46,NA,NA,NA,NA
2014-05-25,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-05-26,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.01,NA,NA,NA,NA
2014-05-27,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.12,NA,NA,NA,NA
2014-05-28,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.42,NA,NA,NA,NA
2014-05-29,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-05-30,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-05-31,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.04,NA,NA,NA,NA
2014-06-01,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-02,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-03,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-06-04,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.74,NA,NA,NA,NA
2014-06-05,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-06-06,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-06-07,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.06,NA,NA,NA,NA
2014-06-08,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-09,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-06-10,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-06-11,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-06-12,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.25,NA,NA,NA,NA
2014-06-13,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.62,NA,NA,NA,NA
2014-06-14,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.65,NA,NA,NA,NA
