site,event_start,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,cluster,DOY,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,API_4d,solarRad_4d,q_4d,q_mm,NO3_1d,SRP_1d,turb_event_max,DO_pre_wet_15cm,Redox_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,multipeak,PET_mmHR,diff_airT_soilT
Wade,2017-11-19 00:00:00,fall,NA,NA,NA,14.387370509649125,1,323,16.8,9.416666666666666,0.16,0.02947368421052632,22.404525,25.891493055555557,0.093405142078125,7.928758871730539,0.14002411376003013,2.232184500752065e-4,5.935333333333333,0.8488991995836149,0.5491559921058944,0.218056225399443,0.31669284924652363,0.9583333333333334,0,0.0073,-9.620052083333334
Wade,2017-11-25 13:00:00,fall,0.4806426290131809,0.0010000568745938052,1062.795610978109,1.8335052416067665,1,329,4.4,11.333333333333334,0.08,0.006423357664233577,14.25138125,26.20486111111111,0.17163631751041666,3.165326557329341,0.16291359071309822,2.1989475687251558e-4,1.89,0.8881447358093518,0.7050289899790974,0.13637776808035135,0.6112835750993582,2.21875,0,0.0241,-2.262404513888889
Wade,2017-11-27 23:30:00,fall,0.20239309402972694,1.8274067599667064e-4,2449.134453549505,0.3814826321457485,1,331,0,0,0,0,5.09325875,13.252604166666666,0.21457579354427084,1.1457095673772455,0.16548244877721607,1.9261211681769686e-4,0.4826666666666667,0.9149199681961291,0.9632664861589098,0.14600384034383676,0.643117819104967,0.3958333333333333,0,2e-4,-8.716180555555557
Wade,2017-11-28 22:45:00,fall,0.6818563129750962,0.001725145240419788,874.0159673889531,4.02438278304503,1,332,12.8,17.583333333333332,0.12,0.012075471698113207,16.555302500000003,10.330729166666666,0.24921636928385416,4.317157985443114,0.17615498960586995,1.614508915026533e-4,3.2873333333333337,0.820365076251268,0.9291071537781534,0.13991298602781393,0.6366012658961464,0.21875,0,0.0058,-11.200104166666666
Wade,2017-11-30 21:00:00,fall,0.4558097719033572,6.616032881721907e-4,1523.4848574957473,1.345513035556491,1,334,5.6000000000000005,2.4166666666666665,0.12,0.037333333333333336,17.152,17.13888888888889,0.351683743046875,2.6962474181497007,0.1713332683884796,2.585824187601535e-4,1.8666666666666667,0.7741257141265889,0.9225688440646491,0.106705065175674,0.6228827873186841,0.3541666666666667,0,0.0198,-6.419826388888889
Wade,2017-12-05 13:00:00,winter,1.6834575874113271,0.0036931717533974567,1007.9867873967504,12.789121981270096,1,339,9.200000000000001,15.25,0.12,0.01,9.200000000000001,26.403645833333332,0.17221371130729166,7.818403374377246,0.18696534206823592,1.6342091472322027e-4,6.5953333333333335,0.7594439523303012,0.8859909233193961,0.11880711702304372,0.6212482158472197,3.4270833333333335,0,0.0132,-0.3191666666666668
Wade,2018-04-12 12:45:00,spring,1.0264145368317923,0.008531343820260051,266.0464785202951,24.452610684873484,5,102,20.6,19.25,0.27999999999999997,0.017758620689655173,20.6,115.13802083333333,0.007505199742187501,3.514023677586826,0.35464921521360987,0.0017308997908681634,40.752,0.4233548985539727,0.9118386305489979,0.0081575533034069,0.7053136736293778,5.802083333333333,0,0.0623,0.8309939236111112
Wade,2018-04-13 15:30:00,spring,2.260986740768238,0.016646653487084856,300.34696059999897,24.61086026335908,5,103,11.8,9.583333333333334,0.08,0.0203448275862069,31.3415,112.13888888888889,0.17450822053645834,6.627277299556886,0.3064300382961259,0.0021333728321652726,8.716666666666667,0.5154065139814176,0.9315697212157542,0.005120922211270158,0.8980715484152266,0.010416666666666666,0,0.0524,3.8251041666666667
Wade,2018-04-16 13:45:00,spring,0.2812024142416483,0.001837769485886511,338.3609020216583,0.8948057104175569,3,106,17,32.083333333333336,0.12,0.008808290155440416,46.745853749999995,64.73871527777777,0.5036668142213542,0.8477660577125748,0.40432908364899606,0.0018197951885625685,2.0886666666666667,0.4600809135115823,0.9316285038005252,0.009878186404471384,0.7748030852434369,1.3958333333333333,1,0.0771,-2.6136631944444444
Wade,2018-04-22 10:45:00,spring,0.06745677047512737,5.586017078844615e-4,267.0394663657781,0.3188124546314371,5,112,0,0,0,0,10.705835,68.73177083333333,0.019777415231770835,0.26473284468862274,0.2917924409996541,0.001964872169358414,1.7993333333333335,0.407825754111126,0.9214798825092978,0.012793111391102127,0.7748220440459065,4.239583333333333,0,0.0044,0.653220486111111
Wade,2018-04-23 10:45:00,spring,0.24945882511589662,0.002110379136680872,261.3909536375848,1.1812112407674618,5,113,0,0,0,0,8.932493749999999,106.39930555555556,0.02560431965625,0.9807885442994012,0.26338413503327973,0.0020864590628786274,2.3226666666666667,0.4966804891758446,0.9201605649492048,0.016555862948112232,0.7791470183481892,0.010416666666666666,0,0.0057,2.0794097222222225
Wade,2018-04-24 10:15:00,spring,2.2828194679004308,0.012338220005147012,409.1393237108826,20.51472748175594,5,114,0,0,0,0,6.164526249999999,144.30729166666666,0.06857718977864584,7.41770132691018,0.263091211223738,0.0019684338024174197,6.717333333333333,0.4625597426728435,0.949742303864608,0.02103647031933367,0.8042822950107831,0.010416666666666666,0,0.0157,6.577152777777777
Wade,2018-04-25 10:00:00,spring,NA,NA,NA,191.62645092350027,3,115,24.6,40,0.12,0.010228690228690229,30.30154375,191.95225694444446,0.42381288778125,28.883700701407186,0.3143903581852912,0.0015515740783718314,41.49066666666667,0.415507553481745,0.9370153121386404,0.01718591968892156,0.8664197185438121,0.010416666666666666,1,0.0045,8.666354166666668
Wade,2018-05-20 07:15:00,spring,0.017787981651578744,2.550536693007592e-4,154.22233075950007,0.060950649664473056,5,140,8.8,6.166666666666667,0.12,0.02346666666666667,11.84,167.14930555555554,0.007301319999069941,0.12017648966766467,0.18245128744647995,0.0014524180418846386,1.8599999999999999,0.5093122534927992,0.8167002749179225,0.5168695289540082,0.6342778456585404,14.739583333333334,0,8e-4,0.9768055555555542
Wade,2018-06-14 07:30:00,summer,NA,NA,NA,NA,6,165,29,34.333333333333336,0.4,0.014043583535108959,29,181.875,0.0012273467070312509,0.19784032859281436,0.2539180320282494,0.0012654141715793944,3.479333333333333,0.801345314868813,0.6451300605238048,0.6248276417758067,0.3823120406258983,24.194444444444443,0,8e-4,8.050833333333333
Wade,2018-06-18 12:45:00,summer,0.014718132590942488,4.848378972603463e-4,67.12871245067562,0.07141249837203592,6,169,24.400000000000002,19.916666666666668,0.27999999999999997,0.020333333333333335,40.54437125,146.09201388888889,0.010786126713107639,0.09031495664371257,0.19041849023427432,0.004328783522653732,6.366,0.6179468850745561,0.6664684986042233,0.7036322547509194,0.5753564767162793,2.9756944444444446,0,0.0365,8.963368055555556
