site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_mm,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_30cm,PET_mmHR,diff_airT_soilT,gw_1d_well1,gw_1d_well2,gw_1d_well3,gw_1d_well4a,gw_1d_well5,gw_1d_allWells,gw_4d_well1,gw_4d_well2,gw_4d_well3,gw_4d_well4a,gw_4d_well5,gw_4d_allWells
Wade,water,2018-05-04 15:15:00,spring,4,5,2,3.039256073,2.2440393039999997,0.34523681599999995,7.147397784664671,8.4,2.1666666666666665,0.44000000000000006,28.74607875,104.94618055555556,1.5811537102265625,0.4258858924230205,0.8736751579688035,0.1269,4.746319444444444,-0.09677082748958334,-0.08836978499479167,0.009921889161458333,-0.05184367840625,-0.05901562415625,0.895842032138669,-0.11740493605208334,-0.08644140959114584,0.008071630194010417,-0.05462502334244792,-0.08262110791015626,0.8911801402606936
Wade,water,2018-05-20 07:15:00,spring,1,1,6,0.067371502,0.060595988,0.011542092952380952,0.12017648966766467,8.8,6.166666666666667,0.12,11.84,166.8515625,0.007301319999069941,0.5168695289540082,0.6301094124246627,8e-4,2.7837152777777767,-0.17786984744270834,-0.09392712664583333,0.015489568354166667,-0.07389063746354167,-0.24337020884895832,0.789823431216992,-0.18213020708463543,-0.09834894626432292,0.014738300186197916,-0.07463931000651042,-0.2341330283828125,0.7895673930118813
Wade,water,2018-06-14 07:30:00,summer,1,1,6,0.082316726,0.07870454,0.010493938666666668,0.19784032859281436,29,34.333333333333336,0.4,29,181.484375,0.0012273467070312509,0.6248276417758067,0.3296115818596296,8e-4,7.486076388888886,-0.3508333209010417,-0.1081719191875,-0.01008343084375,-0.22310939169270833,-0.3621354109166667,0.5567532694136846,-0.4175755135559896,-0.1103151135703125,0.0020533377252604165,-0.26419261611067707,-0.4832226421236979,0.457387772229076
Wade,water,2018-06-18 12:45:00,summer,1,1,6,0.038884475,0.037475919,0.0030592586938775514,0.09031495664371257,24,19.666666666666668,0.27999999999999997,38.56955624999999,151.70225694444446,0.010786126713107639,0.7036322547509194,0.5499697021167494,0.0365,9.0203125,-0.3728697933333333,-0.10633331417708333,-0.023119774177083333,-0.22980645819270834,-0.4535103791927083,0.5077092210726235,-0.23715562026822917,-0.09480998116796875,-0.008096936391927084,-0.12595476618489584,-0.2717341158476563,0.7080810875884362
Wade,water,2018-07-25 22:15:00,summer,1,1,6,0.037104686,0.036200975499999996,0.01113876169230769,0.06824481952095808,38.800000000000004,20.75,0.44000000000000006,45.90854125,89.95659722222223,3.9870391536458424e-4,0.9450527590179991,0,0.0251,5.525477430555554,-0.6190875241979167,-0.21484912819270832,-0.23779156921875,-0.30759327288541666,-0.6123162686458333,0.030291306415559285,-0.6022820495664063,-0.20539700655989584,-0.23252596068359374,-0.3139778416966146,-0.6152379448697917,0.010944658632756874
Wade,water,2018-07-27 20:45:00,summer,1,1,6,0.064410944,0.063464483,0.013360943789473684,0.053590625299401194,10,1.5,0.24,45.198924999999996,103.40798611111111,0.003809435726562501,0.997997914689484,0.6465820048635502,0.0677,1.8175694444444446,-0.22960910688020833,-0.13182799675520834,-0.021604175807291667,-0.12795289933333334,-0.262369790828125,0.6560166937382654,-0.396250711109375,-0.156628920609375,-0.12188401049479167,-0.2180205918671875,-0.40114006442057293,0.374521847294617
Wade,water,2018-08-17 23:45:00,summer,1,1,6,2.772501457,2.771625836,0.692906459,1.567662920784431,31.6,13.75,0.5599999999999999,42.282275,88.73958333333333,7.876157786458343e-4,1,0.31244699943424564,0.0011,-0.2937239583333344,-0.4841703545625,-0.12221328520833333,-0.008734365854166667,-0.24562950891666666,-0.5126883801041667,0.43004610774130975,-0.4555904532734375,-0.1262809007174479,-0.015899934223958332,-0.23834744913671874,-0.47894814045833334,0.42854986311640003
Wade,water,2018-09-03 14:45:00,fall,1,1,6,3.0353313445000003,3.0349517140000004,0.6744337142222223,2.9399847985508982,51.8,5.916666666666667,0.76,51.8,85.51215277777777,5.998918541666677e-4,0.94300063831191006,0.15578782952625675,0.1824,6.849583333333332,-0.64837875365625,-0.18086961594270834,-0.21294261341145834,-0.326984356671875,-0.6119948133072917,0.06800765658292729,-0.6101349564322917,-0.1484320493515625,-0.14621861261979166,-0.3221158791640625,-0.5870130143828125,0.15041534633606587
Wade,water,2018-09-11 01:15:00,fall,1,1,6,0.062976195,0.0620586415,0.011820693619047619,0.0823138719251497,13.600000000000001,30.083333333333332,0.04,13.600000000000001,78.29947916666667,0.0012844648541666674,0.8118440521089509,0.25242368544474914,4e-4,-4.321093750000001,-0.5756668015520834,-0.10454722303125,-0.03308752086458333,-0.30963018916145835,-0.5654687399635416,0.3439023344793245,-0.5400548852513021,-0.10044180217838541,-0.0200537064296875,-0.30959897102343753,-0.5365976722669271,0.3583004782940113
Wade,water,2018-10-02 03:00:00,fall,3,1,6,2.7744276645,2.6902736025,0.2502580095348837,11.848827071856288,25.400000000000002,32,0.16,33.225221250000004,52.57725694444444,0.10682501455989583,0.6915631744644489,0.542393062622483,4e-4,-4.283046875,-0.24834969110416666,-0.0727290975625,0.0170312466875,-0.07380225733333333,-0.18842742305729165,0.8116642121894149,-0.3012038804388021,-0.07782541529166667,0.013437464830729167,-0.07901459684895833,-0.28078003034505206,0.7521013522280117
