Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100,obs101,obs102,obs103,obs104,obs105,obs106,obs107
21,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0614400784478314,0.06144,58.319123,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2,4,4,4,2,2,2,2,4,2,1,1,4,1,4,1,4,4,4,2,1,2,1,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,2,4,2,3,2,5
22,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0569557276600754,0.056956,64.011176,0.01,0,1,1,1,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,5,1,5,5,2,5,5,5,4,5,4,2
23,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0547101117809342,0.05471,54.804693,0.01,0,1,1,1,1,1,1,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,3,4,3,4,4,3,3,5,4,5,4,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,5,5,2,5,5,1,5,5,5,2
24,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0440133095572808,0.044013,63.184549,0.01,0,1,1,1,1,1,4,3,1,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,1,3,3,4,3,4,4,4,3,3,3,3,4,3,5,5,4,5,4,5,4,4,4,3,5,3,4,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,3,3,3,2
25,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0485014199245346,0.048501,44.818176,0.01,0,1,1,1,1,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,3,3,4,3,4,3,3,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,3,1,3,3,2,3,3,3,3,3,3,2
26,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0626509176333349,0.062651,66.905352,0.01,0,3,4,4,3,3,3,3,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,4,4,4,4,4,4,4,3,3,3,3,2,2,3,2,2,2,2,2,1,1,1,1,2,5,5,1,5,1,5,1,1,1,1,5,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,6,2,2,3,2,2,2,6
27,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0559572886549018,0.055957,56.640665,0.01,0,2,2,2,2,5,5,5,2,2,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,3,6,4,6,6,6,6,6,2,2,2,2,2,2,2,2,2,5,5,6,6,3,6,3,3,3,5,6,6,6,4,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,6,3,2,2,2,2,2,2,2,2,2,5,2,2,2,2,5,5,5,2,5,5,1,5,5,3,6,5,6,1
28,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0586566375111266,0.058657,58.595967,0.01,0,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,4,3,3,2,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,4,3,3,3,4,3,4,6,6,4,3,3,3,3,6,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,5,2,2,2,3,2,3,5
29,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0413707032200039,0.041371,55.999901,0.01,0,1,1,1,3,3,3,6,1,3,1,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,6,6,4,4,4,4,4,4,1,1,1,1,3,3,6,6,6,6,3,6,6,3,3,6,6,6,6,4,6,5,5,4,5,4,5,4,4,4,4,5,4,4,4,6,6,3,1,1,1,1,1,1,1,1,1,3,1,1,1,3,6,6,6,1,6,6,2,6,6,3,6,6,6,2
30,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0482053879459796,0.048205,68.5476,0.01,0,6,6,6,6,6,4,4,6,6,6,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,4,6,4,4,4,2,4,4,4,4,2,2,2,1,2,3,3,1,3,1,3,1,1,1,2,3,2,3,2,2,2,1,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,4,4,5,4,4,4,2,4,2,5
