Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98
21,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0966637657724199,0.096664,72.792215,0.01,0,3,3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,4,3,4,3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5
22,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0741206134010249,0.074121,78.1557,0.01,0,5,5,5,5,1,1,1,5,1,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,5,1,5,5,5,1,1,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,5,5,5,5,1,5,1,1,1,1,5,5,5,1,1,1,5,1,1,2,1,1,1,1,1,1,2
23,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.070407756265084,0.070408,48.275165,0.01,0,3,3,3,3,3,3,3,2,3,2,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5,5,5,5,5,2,2,2,2,1,2,2,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,2,1,3,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4
24,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0575641524633455,0.057564,72.105043,0.01,0,2,2,2,5,2,2,2,5,2,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,5,2,5,2,5,5,5,2,4,2,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,2,5,2,2,2,2,5,5,2,2,2,2,5,2,2,3,2,2,2,2,2,2,3
25,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0705250503924469,0.070525,44.647594,0.01,0,1,1,1,4,1,2,2,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,3,1,3,1,1,1,4,2,2,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,2,4,4,4,4,4,5
26,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0751138260896114,0.075114,57.183435,0.01,0,2,2,2,5,2,2,5,6,5,5,2,2,2,2,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,5,5,2,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,3,2,2,2,2,2,2,3
27,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0902889467909295,0.090289,70.902878,0.01,0,3,3,3,3,5,5,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,5,5,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,2,3,2,2,2,2,2,3,3,5,5,5,3,5,5,6,5,5,5,5,5,5,6
28,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0789053476537613,0.078905,66.175432,0.01,0,4,4,4,5,4,4,4,5,4,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,5,4,5,4,5,5,5,2,2,4,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,3,3,3,5,4,5,5,5,4,5,4,4,4,4,5,5,5,4,4,4,5,4,4,6,4,4,4,4,4,4,6
29,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0577559294667232,0.057756,66.784307,0.01,0,1,1,1,5,2,2,5,6,2,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,5,2,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,3
30,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0712774317373803,0.071277,64.801107,0.01,0,2,2,2,4,2,2,2,1,2,1,5,5,5,5,5,4,4,4,4,4,4,4,6,6,6,6,6,6,6,2,1,2,1,2,2,2,4,4,4,2,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,2,2,5,2,5,3
