site,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_mm,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,VWC_pre_dry_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,PET_mmHR,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells
Hungerford,2018-11-06T20:00:00Z,fall,2,2,3,1.394177891,0.548954357,0.049904941545454544,3.855860723609589,5.6000000000000005,8.166666666666666,0.08,28.1039325,31.98871527777778,1.9111885131223958,0.7403311994074386,0.2894685942997417,0.9107489941510728,1.1145833333333333,0.043,-0.3808382786195286,-0.22570401936026938,-0.4562995580808081,-0.9747807796717172,0.7110109170339529,-0.33293592171717173,-0.17994723274410773,-0.38104164299242427,-0.8351004563867845,0.7915149032301436
Hungerford,2018-11-10T02:45:00Z,fall,2,2,3,2.97838915,2.45931428,0.14682473313432837,7.159219765746576,18.8,17.25,0.08,23.3783825,40.7421875,0.8295496154609375,0.745664250568753,0.31230747009864374,0.8154555876092804,1.2916666666666667,0.0027,-0.41072969276094273,-0.2620077861952862,-0.4977909880050505,-1.0407049663299663,0.6546013187650298,-0.38264334648569026,-0.2303389746422559,-0.45790974878998314,-0.9934110535037879,0.6869225259582127
Hungerford,2018-11-13T14:15:00Z,fall,2,2,3,1.462271829,0.7912991850000001,0.0688086247826087,2.9653478671952054,7.4,14.666666666666666,0.08,23.18565125,56.197916666666664,1.151776101734375,0.7569652399343949,0.1889195401529786,0.9228180588436327,1.0208333333333333,6e-4,-0.3589439183501683,-0.20828503787878788,-0.43924736952861954,-1.0030052609427609,0.7169478299291719,-0.3403773937289562,-0.19150852272727273,-0.4008728046085859,-0.9352546314709596,0.750422101399858
Hungerford,2018-11-25T10:30:00Z,fall,2,2,3,3.621105828,3.29781848,0.07994711466666667,15.403206555123287,13.600000000000001,100,0.08,14.740000000000002,68.95138888888889,0.3390586754661458,0.7610285170096819,0.12984190222233447,0.7844188252432636,10.166666666666666,5e-4,-0.401888468013468,-0.2520626052188552,-0.5064837962962964,-1.0246081649831649,0.6538011913035594,-0.4099762084385522,-0.25921765940656566,-0.5086151499368687,-1.0425584227693603,0.6256721353974416
Hungerford,2019-03-24T17:00:00Z,spring,3,1,4,2.77137381717116,0.41703116658850004,0.10425779164712501,4.9798755322999035,18,4.583333333333333,0.12,23.46915,100.66666666666667,1.691232234710744,0.10709486270567688,0.0042280022485600205,0.6816716135510088,0.020833333333333332,0.3967,NA,-0.23487184343434342,NA,-0.6864307207491582,0.885182236030952,NA,-0.22075270938552188,NA,-0.6172770415088384,0.9002484531560198
Hungerford,2019-03-25T16:30:00Z,spring,3,1,4,2.69346792610361,0.5029027294305197,0.12572568235762993,3.6554977609720325,0.2,0.08333333333333333,0.04,22.071897499999995,115.58246527777777,2.2258523165881625,0.11928469393153796,0.005504665900881956,0.6886745728238327,0.010416666666666666,0.3075,NA,-0.2284436026936027,NA,-0.8236960437710438,0.7934940286680283,NA,-0.22732054924242426,NA,-0.6997782041771885,0.8409592922574354
Hungerford,2019-03-26T10:15:00Z,spring,3,1,4,2.91298028694379,0.7071042525969,0.13468652430417144,1.2874808891701202,0,0,0,20.344630000000002,141.78645833333334,2.594537891928333,0.12842706735093376,0.003376893147012065,0.700505658364086,0,0.0263,NA,-0.23262415824915825,NA,-0.8940888920454545,0.7427092939317217,NA,-0.22898245475589227,NA,-0.7508265503998316,0.8054887298220601
Hungerford,2019-03-26T17:00:00Z,spring,3,1,4,2.55805825380299,0.37512589143280994,0.09378147285820249,2.438644194136536,0,0,0,18.408767499999996,167.98350694444446,2.666103154216464,0.13147452515739902,0.0038024476977860425,0.7020279051914932,0.010416666666666666,0.3101,NA,-0.23410984848484848,NA,-0.9076810248316498,0.7325616617006783,NA,-0.23002993476430977,NA,-0.7705539280829125,0.7915763000043812
Hungerford,2019-03-27T07:45:00Z,spring,3,1,4,2.73659404398234,0.64408396461064,0.09201199494437715,1.740350855022523,0,0,0,15.613249999999999,192.61024305555554,2.523032056970484,0.1365536215015078,0.0042280022485600205,0.7121136360369,0.09375,1e-4,NA,-0.23683385942760943,NA,-0.9281756670875421,0.717017120256129,NA,-0.23257260101010102,NA,-0.8198931563026094,0.7568195907372456
Hungerford,2019-03-27T17:00:00Z,spring,3,1,4,2.42658077612899,0.4584829720085799,0.1528276573361933,2.2112564177717995,0,0,0,15.3217425,217.41753472222223,2.504851956641485,0.1436643563832601,0.0025257840454641113,0.7169454532850219,0.010416666666666666,0.4268,NA,-0.24102251683501683,NA,-0.9500220486111111,0.6998003097215018,NA,-0.2346020622895623,NA,-0.8433253427504208,0.739897145616802
