Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59
24,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.052675609362821,0.052676,68.77088,0.01,0,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,3,3,3,3,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,4
25,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0708050736697525,0.070805,44.929222,0.01,0,2,2,2,2,2,2,2,2,2,4,4,4,2,3,3,3,3,3,3,3,4,4,4,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,2,2,3,3,3,3,3,2,4,2,2,5
26,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0600074719830453,0.060007,61.919521,0.01,0,3,3,3,3,3,3,3,3,3,3,5,3,3,2,2,2,2,1,1,2,2,2,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,5,5,3,3,1,1,1,1,2,3,5,3,3,5
27,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0437718271902491,0.043772,54.480607,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,5
28,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,5,2.8,0.0290070552169527,0.029007,55.502541,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,5
29,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0425966709652091,0.042597,61.949915,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,1,1,1,3,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,3,1,1,2
30,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0408286789736114,0.040829,64.585744,0.01,0,3,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1,5,5,5,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,5,5,5,5,1,3,1,3,3,2
31,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0718716775690832,0.071872,65.247752,0.01,0,2,2,2,2,1,1,1,1,2,1,3,1,1,1,1,1,5,6,6,5,5,5,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,3,3,1,1,6,6,6,6,5,2,3,2,2,3
32,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0532478558401888,0.053248,55.971871,0.01,0,1,1,1,2,1,1,1,1,1,3,3,3,1,2,2,2,6,6,6,6,2,2,4,1,1,1,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,3,1,1,3,3,1,1,6,6,6,6,6,1,2,1,1,4
33,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0701492629930799,0.070149,56.453678,0.01,0,2,2,2,3,2,2,2,3,2,2,2,2,2,6,6,6,6,5,5,5,6,6,4,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,2,6,2,2,4
34,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,6,2.8,0.0279954013414327,0.027995,58.286067,0.01,0,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,5,6,6,5,5,5,4,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,4,2,4,2,2,4
35,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0480075076088731,0.048008,54.930682,0.01,0,2,2,2,6,2,2,2,2,2,5,5,2,2,3,3,3,3,4,4,3,3,3,5,2,2,2,6,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5,2,2,2,4,4,4,4,3,2,5,2,2,5
36,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0580035935090387,0.058004,68.241667,0.01,0,3,3,3,3,3,3,3,3,3,5,5,3,3,2,2,2,6,1,1,6,6,6,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,5,3,3,3,1,1,1,1,6,3,5,3,3,5
37,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.0753608251881522,0.075361,58.437748,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,4
38,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0603306483834715,0.060331,69.850842,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,3,2,2,3
39,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0483081294961819,0.048308,67.811139,0.01,0,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1,2,3,2,3,3,2
40,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,4,2.8,0.0397873895966711,0.039787,62.875828,0.01,0,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,2,4,2,2,3
41,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0432757603075841,0.043276,38.731468,0.01,0,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,4,4,4,4,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,4,4,1,2,1,1,3
42,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0394013694802756,0.039401,68.692092,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,4
43,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0724327621466503,0.072433,56.588612,0.01,0,3,3,3,3,3,3,3,3,3,2,1,3,3,2,2,2,4,4,4,4,1,1,1,3,3,3,1,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,2,3,3,3,4,4,1,1,1,3,1,3,3,1
44,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0538044290664256,0.053804,54.841235,0.01,0,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,4,4,4,4,3,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,4,4,4,4,3,2,3,2,2,5
45,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0499220800656616,0.049922,65.560651,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,3,5,5,5,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,2,1,2,2,1
46,hford,44,hexagonal,4,11,L2norm,noPCA,1500,0.05,0.01,5,2.8,0.0330083701403972,0.033008,65.831509,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,4,4,2,4,2,2,3
47,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0471132226431094,0.047113,61.955552,0.01,0,3,3,3,2,3,3,3,2,3,3,2,2,3,3,3,3,1,5,5,1,1,1,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,5,5,5,5,1,3,2,3,3,2
48,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0409064650059461,0.040906,63.117658,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,2,5,2,2,5
