site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,turb_event_max,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,q_event_max,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,diff_airT_soilT,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells
Hungerford,turb_kg_km2,2018-05-04 19:00:00,spring,1,4,4,13.595923564081843,0.14696081126343608,204.57819333625352,126.44877453246731,92.41933333333334,3.2,3.3333333333333335,0.27999999999999997,14.21190125,2.898773285,134.68663194444446,2.365133650708333,0.5621226787675738,0.9328511218666876,0.010416666666666666,1.3020833333333321,-0.17252693181818182,-0.08476140677609427,-0.20629040404040405,-0.8051656618265993,0.9470937102618312,-0.17961782880892255,-0.09810866203703704,-0.229248992003367,-0.8345871477798822,0.9125718574844188
Hungerford,turb_kg_km2,2018-05-15 09:00:00,spring,4,3,3,NA,NA,NA,9.7114225013234865,8.575638888542674,8.4,5.833333333333333,0.12,8.4,0.742126684,279.44444444444446,0.5091941543489583,0.5637592015528586,0.6667037675165228,9.239583333333334,5.6775868055555545,-0.46521875210437713,-0.3663752925084175,-0.6108028198653198,-1.0880217803030303,0.5276869130935865,-0.41776643676346803,-0.31508166114267677,-0.5658232060185185,-1.075398726851852,0.5709211581278891
Hungerford,turb_kg_km2,2018-05-20 06:30:00,spring,4,3,3,3.047118172696466,4.249868237074521e-4,15854.990905127179,9.961263249580082,8.188666666666666,7.6000000000000005,14.083333333333334,0.16,8.360000000000001,0.562786674,239.53645833333334,0.413157885546875,0.5938158683532997,0.5627804074739715,3.03125,1.2153819444444451,-0.4788940446127946,-0.37744507575757574,-0.6438077651515152,-1.0975520833333334,0.5002538406664561,-0.4482428101325758,-0.344934601746633,-0.5826409669612794,-1.0948394097222223,0.5329929154207528
Hungerford,turb_kg_km2,2018-05-26 07:30:00,spring,4,3,3,3.661397792070274,0.0010080105447020273,8032.190598288898,24.61658119331172,14.327333333333334,13.6,45.583333333333336,0.64,14.414506249999999,0.540681238,194.76736111111111,0.31971913680208336,0.6498928389856434,0.5322193874899002,4.052083333333333,6.02107638888889,-0.5873679008838384,-0.505682095959596,-0.7704740793350169,-1.1256522516835017,0.3960777659657898,-0.5339259098800505,-0.44525212489478116,-0.7115557946654041,-1.1292072916666667,0.4213628244182014
Hungerford,turb_kg_km2,2018-06-30 21:30:00,summer,4,2,2,NA,NA,NA,NA,NA,11.6,44.583333333333336,0.44000000000000006,19.7450625,0.51907487,108.11371527777777,0.12425034347395833,0.7809277525225693,0.2420721335843036,31.979166666666668,3.0685763888888893,-1.0230739688552188,-0.8475829787457912,-0.9965602904040404,-1.2019465488215488,0.19820529321880132,-1.0030423153409092,-0.8314650013152357,-0.98611093381734,-1.1961641966540404,0.19043492960595138
Hungerford,turb_kg_km2,2018-07-25 19:00:00,summer,3,1,1,0.8726927454641451,0.21245282984896546,9.083453784939111,19.66015345754189,37.17466666666667,48.8,49.833333333333336,0.76,50.12893125,0.3997671,143.77604166666666,0.07460354638671875,0.9148121759455774,0.06394360473690575,22.479166666666668,3.6886111111111113,-1.3625576599326599,-1.0777658880471381,-1.140342276936027,-1.3527171717171718,0.030713782057629053,-1.358751630892256,-1.0662020728114479,-1.1393377788299663,-1.3138636100589225,0.02742480904056072
Hungerford,turb_kg_km2,2018-08-08 19:15:00,summer,3,1,1,1.0993069557792536,0.14480197052592947,16.7879114322735,32.42490864190048,62.59533333333333,42,9.083333333333334,1,45.025275,0.680889898,190.03125,0.08352034514583333,0.9799910545148389,0.278117530353115,11.78125,-0.369010416666665,-1.088099957912458,-0.9138963026094277,-1.089676872895623,-1.2365866477272727,0.14749985283558398,-1.057719696969697,-0.890911861584596,-1.0482903777356902,-1.2245368239688552,0.15072440756753494
Hungerford,turb_kg_km2,2018-10-02 13:45:00,fall,4,2,2,0.5606472008856613,0.056629569308805916,21.892661640607614,NA,13.142666666666667,28.8,57.166666666666664,0.16,36.3998575,0.350038974,93.60329861111111,0.10789196366666667,0.6648758775890327,0.3584169793481658,53.083333333333336,-4.849635416666667,-0.8670854945286196,-0.6777200599747475,-0.8372552662037037,-1.1697489478114478,0.3087181993108154,-0.8772308643728957,-0.709219832438973,-0.8728756904987374,-1.1785324074074075,0.2690577702116808
Hungerford,turb_kg_km2,2018-10-11 10:00:00,fall,4,2,2,1.6284439747464858,0.1471202840424544,24.476675615486215,12.255064724193657,18.865333333333332,20.2,46.333333333333336,0.4,21.445901250000002,0.527657697,75.21180555555556,0.13621833717708334,0.6429016180070213,0.390731502658075,6.84375,0.14210069444444606,-0.6682122264309764,-0.5150676483585859,-0.7771451346801347,-1.1723993055555555,0.375641045447039,-0.6418505366161616,-0.4840234269781145,-0.7356524663299663,-1.1650517939814815,0.37850916475325724
Hungerford,turb_kg_km2,2018-10-27 22:00:00,fall,4,2,2,1.773687621744762,0.47078439339244116,8.33119391413481,15.599274336113288,53.41866666666667,17.400000000000002,53,0.16,25.760475000000003,0.313564268,56.94097222222222,0.15011651275260418,0.3262561564724514,0.4194689925332341,14.229166666666666,-4.112638888888888,-0.6157969276094276,-0.4602907733585858,-0.6967483038720539,-1.1506342592592593,0.419795897187938,-0.6305065761784512,-0.4700006084280303,-0.7119611710858585,-1.1400501893939394,0.3956067892024078
