Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59
11,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0563557173943268,0.056356,40.75073,0.01,0,2,2,2,6,2,2,2,6,2,4,4,2,2,1,1,1,3,3,3,3,3,3,4,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,1,1,3,3,3,2,3,2,2,5
12,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0395050069241227,0.039505,42.439434,0.01,0,2,2,2,3,2,2,2,2,2,5,5,2,2,6,6,6,1,6,6,1,1,1,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,6,6,6,6,1,2,1,2,2,4
13,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0369171524866282,0.036917,43.34591,0.01,0,1,1,1,1,1,1,1,1,1,4,4,1,1,3,3,3,3,6,6,3,3,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,1,6,6,6,6,3,1,2,1,1,5
14,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0449225711756185,0.044923,51.198968,0.01,0,4,4,4,5,4,4,4,4,4,6,6,4,4,3,3,3,2,1,1,2,2,2,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,6,4,4,4,1,1,1,1,2,4,2,4,4,6
15,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0331753903631323,0.033175,38.26309,0.01,0,3,3,3,3,3,3,3,3,3,5,3,3,3,1,1,1,2,1,1,2,2,2,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,1,1,1,1,2,3,2,3,3,6
16,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.0574003053863749,0.0574,49.66842,0.01,0,1,1,1,1,1,1,1,1,1,3,3,1,1,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,4,4,4,4,4,1,3,1,1,2
17,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0500425675596874,0.050043,49.421633,0.01,0,4,4,4,4,4,4,4,3,4,3,3,4,4,1,1,1,1,1,1,1,1,1,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,1,1,1,1,1,4,3,4,4,2
18,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.046338307118269,0.046338,54.700626,0.01,0,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,4,4,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,4,4,4,2,1,2,1,1,3
19,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0325418570172138,0.032542,47.662344,0.01,0,1,1,1,2,1,1,1,1,1,3,3,3,1,4,4,4,4,4,4,4,4,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,4,4,4,4,4,1,4,1,1,3
20,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0385849667206671,0.038585,55.143681,0.01,0,1,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,4,3,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,2,1,2,1,1,2
21,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0657989835905149,0.065799,46.255296,0.01,0,2,2,2,4,2,2,2,2,2,1,1,1,2,5,5,5,3,3,3,3,3,3,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,3,3,3,3,3,2,1,2,2,1
22,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0448540868598339,0.044854,49.911961,0.01,0,1,1,1,4,1,1,1,1,1,5,5,1,1,1,1,1,2,3,3,2,2,2,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,3,3,3,2,1,5,1,1,5
23,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0403804498787156,0.04038,38.509978,0.01,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,3,3,3,3,1,3,1,1,2
24,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0444298404695959,0.04443,45.321309,0.01,0,2,2,2,5,2,2,2,3,2,3,3,3,2,1,1,1,4,1,1,4,4,4,3,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,1,1,1,1,4,2,4,2,2,3
25,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0334613739004554,0.033461,55.554255,0.01,0,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,3,2,1,1,2,2,2,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,1,1,1,1,1,4,5,4,4,5
26,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0550085303192432,0.055009,41.689599,0.01,0,4,4,4,4,3,3,3,3,4,3,3,3,4,6,6,6,1,1,1,1,1,1,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,5,3,4,4,6,6,1,1,1,4,1,4,4,5
27,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0452882304246324,0.045288,35.037969,0.01,0,3,3,3,4,3,3,3,3,3,3,3,3,3,5,5,5,6,5,5,6,6,6,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,5,5,5,5,5,3,2,3,3,1
28,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0422316256831789,0.042232,46.756349,0.01,0,6,6,6,6,6,6,3,3,5,3,3,3,4,4,4,4,1,1,1,1,1,1,2,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,3,4,3,3,4,3,3,4,4,1,1,1,1,1,4,3,4,6,2
29,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.047122061889899,0.047122,44.451193,0.01,0,1,1,1,3,1,1,2,2,1,2,2,2,1,2,2,2,5,4,4,5,5,5,6,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,6,2,1,2,4,4,4,4,5,1,2,1,1,6
30,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0425494570771339,0.042549,47.955266,0.01,0,3,3,3,4,3,3,3,6,3,6,6,6,2,2,2,2,1,5,5,1,1,1,6,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,3,2,6,6,2,2,5,5,5,5,1,3,6,3,3,6
31,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.0536481507829794,0.053648,49.841338,0.01,0,1,1,1,2,1,1,1,2,1,4,4,1,1,3,3,3,3,3,3,3,3,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4,4,1,4,3,3,3,3,3,1,3,1,1,4
32,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0548864740188268,0.054886,49.325675,0.01,0,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,2,2,2,2,2,1,3,1,1,4
33,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0480803624105477,0.04808,54.886712,0.01,0,3,3,3,3,3,3,3,3,3,2,2,3,3,4,4,4,1,1,4,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,4,4,4,1,1,3,1,3,3,2
34,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0429557085106649,0.042956,51.981003,0.01,0,3,3,3,3,3,3,3,3,3,4,4,4,2,2,2,2,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,2,4,4,2,2,1,1,1,1,1,3,1,3,3,4
35,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0285291189580629,0.028529,51.470144,0.01,0,2,1,1,2,1,1,1,4,1,4,4,1,2,2,2,2,3,3,3,3,2,2,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,4,4,2,2,3,3,3,3,3,1,2,1,2,4
36,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.054269646040396,0.05427,42.455734,0.01,0,1,1,1,1,1,1,1,1,1,4,4,1,1,5,5,5,5,5,5,5,5,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,4,5,5,5,5,5,1,4,1,1,3
37,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0516529609969424,0.051653,38.979706,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,2,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,2,4,1,3,1,1,5
38,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0414262895482257,0.041426,48.306195,0.01,0,1,1,1,4,1,1,1,1,1,5,5,1,1,1,1,1,2,3,3,2,2,2,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,3,3,2,2,1,2,1,1,5
39,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0477049139251172,0.047705,54.660154,0.01,0,2,2,2,2,2,2,2,2,2,1,1,2,2,5,5,5,3,4,4,3,3,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,4,4,4,4,3,2,3,2,2,1
40,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0460932776229319,0.046093,44.745545,0.01,0,5,5,5,4,5,5,5,4,5,3,4,4,5,2,2,2,2,1,1,2,2,2,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,4,5,5,1,1,1,2,2,5,2,5,5,3
41,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0565972013028611,0.056597,43.422833,0.01,0,3,3,3,3,3,3,3,3,3,2,2,3,3,6,6,6,5,5,5,5,5,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,5,5,5,5,5,3,2,3,3,1
42,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.048131589391455,0.048132,45.650391,0.01,0,3,3,3,3,3,3,3,3,3,3,2,3,3,6,6,6,5,1,1,5,5,5,2,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,6,1,1,1,1,3,1,3,3,2
43,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0314613840700569,0.031461,35.30114,0.01,0,1,1,1,3,1,1,1,1,1,5,5,1,1,2,2,2,2,2,2,4,2,2,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,4,2,2,2,5,1,5,1,1,6
44,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.037818125492483,0.037818,44.611813,0.01,0,4,4,4,3,4,4,4,4,4,5,5,5,4,1,1,1,6,1,1,6,6,6,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,1,1,1,1,6,4,5,4,4,2
45,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0325150517243078,0.032515,42.764301,0.01,0,5,4,4,5,4,4,4,5,4,3,3,3,4,1,1,1,1,1,1,1,1,1,2,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,3,6,6,1,1,1,4,1,4,5,2
46,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.048690085002541,0.04869,52.253215,0.01,0,2,2,2,3,2,2,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,4,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,4,4,4,4,4,2,1,2,2,1
47,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0415441509053889,0.041544,50.753303,0.01,0,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,1,1,1,1,1,3,1,3,3,2
48,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0359207908370998,0.035921,51.923639,0.01,0,1,1,1,2,1,1,1,1,1,4,4,1,1,1,1,1,3,3,3,3,3,3,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,3,3,1,4,1,1,4
49,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0413027572133937,0.041303,45.047076,0.01,0,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,4
50,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0389200702849199,0.03892,50.4765,0.01,0,4,4,4,3,4,4,4,4,4,2,2,4,4,1,1,1,1,1,1,1,1,1,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,1,1,1,1,1,4,1,4,4,2
51,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0496886755107836,0.049689,49.29119,0.01,0,1,1,1,1,1,1,1,1,1,3,3,1,1,5,5,5,5,4,4,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,4,4,4,4,4,1,3,1,1,2
52,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0637329066415099,0.063733,39.969441,0.01,0,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,3,2,2,5
53,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0476990913199116,0.047699,40.241958,0.01,0,5,5,5,5,5,5,5,5,5,4,4,5,5,1,1,1,1,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,1,1,2,5,2,5,5,3
54,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0420431897255381,0.042043,41.20427,0.01,0,1,1,1,2,1,1,1,2,1,5,5,1,1,3,3,3,3,3,3,3,3,3,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,3,3,3,3,1,3,1,1,4
55,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0337249226640393,0.033725,46.05267,0.01,0,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,1,1,1,1,1,1,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,1,1,1,1,1,3,4,3,3,5
56,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0490165243857655,0.049017,41.5568,0.01,0,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,5,3,3,5,5,5,6,1,1,1,2,4,4,4,4,4,4,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,1,5,1,1,6
57,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0548746200988869,0.054875,44.372229,0.01,0,1,1,1,1,1,1,4,4,1,4,4,4,1,2,2,2,3,3,3,3,3,3,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,4,4,1,4,3,3,3,3,3,1,4,1,1,6
58,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0483947225535944,0.048395,40.407431,0.01,0,1,1,1,1,1,1,1,1,1,4,4,1,1,2,2,2,3,3,3,3,3,3,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,3,3,1,3,1,1,6
59,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0520611457946,0.052061,44.591495,0.01,0,2,2,2,2,2,2,2,2,2,5,5,2,2,1,1,1,4,3,3,3,4,4,5,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,3,3,3,3,3,2,5,2,2,6
60,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0262412941624835,0.026241,42.158477,0.01,0,4,4,4,5,4,4,4,4,4,3,3,4,4,3,3,3,2,1,1,2,2,2,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,1,1,1,1,1,4,3,4,4,6
